,name,categories,address,crossStreet,lat,lng,labeledLatLngs,distance,cc,city,state,country,formattedAddress,postalCode,neighborhood,id,point name
0,9/11 Memorial North Pool,Memorial Site,West St,at Fulton St,40.71207726282092,-74.01318669319153,"[{'label': 'display', 'lat': 40.71207726282092, 'lng': -74.01318669319153}]",104,US,New York,NY,United States,"['West St (at Fulton St)', 'New York, NY', 'United States']",,,58801864cc5b6a14dedce689,One World Trade Center
1,Battery Park City Esplanade,Park,Battery Park City,From Chambers St to Battery Park,40.71162184551406,-74.01790738105774,"[{'label': 'display', 'lat': 40.71162184551406, 'lng': -74.01790738105774}]",428,US,New York,NY,United States,"['Battery Park City (From Chambers St to Battery Park)', 'New York, NY 10280', 'United States']",10280,,4c1164576e5dc9b69506b02d,One World Trade Center
2,Nelson A. Rockefeller Park,Park,North end of Battery Park City & West of River Terrace,at Warren  St,40.717501368742596,-74.01648044586182,"[{'label': 'display', 'lat': 40.717501368742596, 'lng': -74.01648044586182}]",571,US,New York,NY,United States,"['North end of Battery Park City & West of River Terrace (at Warren  St)', 'New York, NY 10280', 'United States']",10280,,4b929790f964a5209a0734e3,One World Trade Center
3,Washington Market Park,Playground,Greenwich St,at Reade St,40.71704598853704,-74.01109457015991,"[{'label': 'display', 'lat': 40.71704598853704, 'lng': -74.01109457015991}]",481,US,New York,NY,United States,"['Greenwich St (at Reade St)', 'New York, NY', 'United States']",,,4a9bcc2ff964a5203b3520e3,One World Trade Center
4,The Bar Room at Temple Court,Hotel Bar,123 Nassau St,,40.7114477287544,-74.00680157032005,"[{'label': 'display', 'lat': 40.7114477287544, 'lng': -74.00680157032005}]",565,US,New York,NY,United States,"['123 Nassau St', 'New York, NY 10038', 'United States']",10038,Financial District,57f0689d498e7d49d9189369,One World Trade Center
5,Pier 25 - Hudson River Park,Park,West Side Highway,at N Moore St,40.72019260471762,-74.01295032920208,"[{'label': 'display', 'lat': 40.72019260471762, 'lng': -74.01295032920208}]",798,US,New York,NY,United States,"['West Side Highway (at N Moore St)', 'New York, NY 10013', 'United States']",10013,,4ba0e4e3f964a520498537e3,One World Trade Center
6,Aire Ancient Baths,Spa,88 Franklin St,at Church St,40.718141411641234,-74.00494121234846,"[{'label': 'display', 'lat': 40.718141411641234, 'lng': -74.00494121234846}, {'label': 'entrance', 'lat': 40.718134, 'lng': -74.004846}]",899,US,New York,NY,United States,"['88 Franklin St (at Church St)', 'New York, NY 10013', 'United States']",10013,,4fbbd9ede4b0756c0d4c2364,One World Trade Center
7,Pier 25 Beach Volleyball,Volleyball Court,West St,at N Moore St,40.72037995010057,-74.01486039161682,"[{'label': 'display', 'lat': 40.72037995010057, 'lng': -74.01486039161682}]",831,US,New York,NY,United States,"['West St (at N Moore St)', 'New York, NY 10013', 'United States']",10013,,4d98c6e8e07ea35d6a52fa02,One World Trade Center
8,Crown Shy,Restaurant,70 Pine St,,40.70618693053086,-74.00749011603791,"[{'label': 'display', 'lat': 40.70618693053086, 'lng': -74.00749011603791}]",899,US,New York,NY,United States,"['70 Pine St', 'New York, NY 10005', 'United States']",10005,,5c883f65f4b525002c0bf2ca,One World Trade Center
9,Pier 26 - Hudson River Park,Park,West St,at Beach St,40.72094711352765,-74.0129479765892,"[{'label': 'display', 'lat': 40.72094711352765, 'lng': -74.0129479765892}]",882,US,New York,NY,United States,"['West St (at Beach St)', 'New York, NY 10013', 'United States']",10013,,4ba0e528f964a5205c8537e3,One World Trade Center
10,The Rooftop @ Pier 17,Music Venue,89 South St,,40.70546283217086,-74.00159777553358,"[{'label': 'display', 'lat': 40.70546283217086, 'lng': -74.00159777553358}]",1289,US,New York,NY,United States,"['89 South St', 'New York, NY 10038', 'United States']",10038,,5b4fc2b467af3a002c9ab00f,One World Trade Center
11,Brooklyn Bridge,Bridge,Brooklyn Bridge,,40.70596749893083,-73.99670720100403,"[{'label': 'display', 'lat': 40.70596749893083, 'lng': -73.99670720100403}]",1596,US,New York,NY,United States,"['Brooklyn Bridge', 'New York, NY 10038', 'United States']",10038,,4a43bcb7f964a520bba61fe3,One World Trade Center
12,La Compagnie des Vins Surnaturels,Wine Bar,249 Centre St,at Broome St,40.720447943059405,-73.9979693380989,"[{'label': 'display', 'lat': 40.720447943059405, 'lng': -73.9979693380989}, {'label': 'entrance', 'lat': 40.720488, 'lng': -73.998079}]",1526,US,New York,NY,United States,"['249 Centre St (at Broome St)', 'New York, NY 10013', 'United States']",10013,,53506fd9498ebca706a7c170,One World Trade Center
13,Brooklyn Bridge Park,Park,Furman St,Plymouth St,40.702282,-73.996456,"[{'label': 'display', 'lat': 40.702282, 'lng': -73.996456}]",1849,US,Brooklyn,NY,United States,"['Furman St (Plymouth St)', 'Brooklyn, NY 11201', 'United States']",11201,"DUMBO, Brooklyn, NY",430d0a00f964a5203e271fe3,One World Trade Center
14,Thai Diner,Thai Restaurant,186 Mott St,at Kenmare,40.720739,-73.995631,"[{'label': 'display', 'lat': 40.720739, 'lng': -73.995631}]",1711,US,New York,NY,United States,"['186 Mott St (at Kenmare)', 'New York, NY 10012', 'United States']",10012,,5e46e2ec5791a10008c55728,One World Trade Center
15,Stick With Me,Chocolate Shop,202 Mott St Frnt A,btwn Kenmare St & Spring St,40.721304,-73.995474,"[{'label': 'display', 'lat': 40.721304, 'lng': -73.995474}]",1755,US,New York,NY,United States,"['202 Mott St Frnt A (btwn Kenmare St & Spring St)', 'New York, NY 10012', 'United States']",10012,,546232fb498e6f99835ec2c2,One World Trade Center
16,Elizabeth Street Garden,Garden,209 Elizabeth St,btwn Prince & Spring St,40.72213773713652,-73.99474431471144,"[{'label': 'display', 'lat': 40.72213773713652, 'lng': -73.99474431471144}]",1857,US,New York,NY,United States,"['209 Elizabeth St (btwn Prince & Spring St)', 'New York, NY 10012', 'United States']",10012,,4a9032caf964a5207b1620e3,One World Trade Center
17,Raku,Udon Restaurant,48 Macdougal St,King and Macdougal,40.727404193363725,-74.0026963722485,"[{'label': 'display', 'lat': 40.727404193363725, 'lng': -74.0026963722485}, {'label': 'entrance', 'lat': 40.727328, 'lng': -74.002622}]",1829,US,New York,NY,United States,"['48 Macdougal St (King and Macdougal)', 'New York, NY 10012', 'United States']",10012,,5aea422a033693002bf0c1cb,One World Trade Center
18,Wayla,Thai Restaurant,100 Forsyth St,btw Grand & Broome,40.7182908437571,-73.99258397519588,"[{'label': 'display', 'lat': 40.7182908437571, 'lng': -73.99258397519588}]",1834,US,New York,NY,United States,"['100 Forsyth St (btw Grand & Broome)', 'New York, NY 10002', 'United States']",10002,Lower East Side,5cc4e9d0c876c8002c3010cb,One World Trade Center
19,McNally Jackson Books,Bookstore,52 Prince St,btwn Lafayette & Mulberry St,40.72349313279467,-73.99604818258018,"[{'label': 'display', 'lat': 40.72349313279467, 'lng': -73.99604818258018}]",1857,US,New York,NY,United States,"['52 Prince St (btwn Lafayette & Mulberry St)', 'New York, NY 10012', 'United States']",10012,,49e63a33f964a52023641fe3,One World Trade Center
20,citizenM Bowery,Hotel,189 Bowery,at Delancey St,40.720599497806894,-73.99357438087463,"[{'label': 'display', 'lat': 40.720599497806894, 'lng': -73.99357438087463}]",1856,US,New York,NY,United States,"['189 Bowery (at Delancey St)', 'New York, NY 10002', 'United States']",10002,,51050d4e5262d6654ddc83e1,One World Trade Center
21,Ample Hills Creamery,Ice Cream Shop,1 Water St,Old Fulton St,40.70317572971947,-73.9946848154068,"[{'label': 'display', 'lat': 40.70317572971947, 'lng': -73.9946848154068}]",1906,US,Brooklyn,NY,United States,"['1 Water St (Old Fulton St)', 'Brooklyn, NY 11201', 'United States']",11201,,5cfef00ae1f0aa002c1d54ce,One World Trade Center
22,Brooklyn Heights Promenade,Scenic Lookout,Columbia Heights,btwn Remsen & Orange St,40.69846219320118,-73.99670720100403,"[{'label': 'display', 'lat': 40.69846219320118, 'lng': -73.99670720100403}]",2134,US,Brooklyn,NY,United States,"['Columbia Heights (btwn Remsen & Orange St)', 'Brooklyn, NY 11201', 'United States']",11201,,42377700f964a52024201fe3,One World Trade Center
23,Hudson River Greenway Running Path,Trail,Hudson River Greenway,btwn Battery Park & W 72nd St,40.73255155774,-74.01057958602905,"[{'label': 'display', 'lat': 40.73255155774, 'lng': -74.01057958602905}]",2185,US,New York,NY,United States,"['Hudson River Greenway (btwn Battery Park & W 72nd St)', 'New York, NY 10282', 'United States']",10282,,4ed6adfce5fabbd89f617d4f,One World Trade Center
24,Pebble Beach,Beach,Brooklyn Bridge Park Greenway,,40.70432918778119,-73.99026520089504,"[{'label': 'display', 'lat': 40.70432918778119, 'lng': -73.99026520089504}]",2161,US,Brooklyn,NY,United States,"['Brooklyn Bridge Park Greenway', 'Brooklyn, NY 11201', 'United States']",11201,,4fd4ff3ce4b0bd432923a7c7,One World Trade Center
25,Murray's Cheese,Cheese Shop,254 Bleecker St,at Cornelia St,40.73100494148146,-74.00291557226433,"[{'label': 'display', 'lat': 40.73100494148146, 'lng': -74.00291557226433}]",2181,US,New York,NY,United States,"['254 Bleecker St (at Cornelia St)', 'New York, NY 10014', 'United States']",10014,,3fd66200f964a5203ee71ee3,One World Trade Center
26,The Garden at St. Luke in the Fields,Garden,487 Hudson St,at Barrow St,40.731779943709725,-74.00666673502485,"[{'label': 'display', 'lat': 40.731779943709725, 'lng': -74.00666673502485}]",2159,US,New York,NY,United States,"['487 Hudson St (at Barrow St)', 'New York, NY 10014', 'United States']",10014,,4bb76b8146d4a593de6ec7c0,One World Trade Center
27,Brooklyn Bridge Park - Pier 5,Pier,Brooklyn Bridge Pk Greenway,at Joralemon St,40.694918,-74.001686,"[{'label': 'display', 'lat': 40.694918, 'lng': -74.001686}]",2236,US,Brooklyn,NY,United States,"['Brooklyn Bridge Pk Greenway (at Joralemon St)', 'Brooklyn, NY 11201', 'United States']",11201,,4e2b293ee4cd3bc166926781,One World Trade Center
28,Court Street Grocers,Sandwich Place,540 Laguardia Pl,btwn Bleecker & W 3rd St,40.728806,-73.998471,"[{'label': 'display', 'lat': 40.728806, 'lng': -73.998471}, {'label': 'entrance', 'lat': 40.72883, 'lng': -73.998474}]",2151,US,New York,NY,United States,"['540 Laguardia Pl (btwn Bleecker & W 3rd St)', 'New York, NY 10012', 'United States']",10012,,5644c0cf498eda8d003cfa4b,One World Trade Center
29,Comedy Cellar,Comedy Club,117 Macdougal St,btwn Minetta Ln & W 3rd St,40.73012988282376,-74.00040218545217,"[{'label': 'display', 'lat': 40.73012988282376, 'lng': -74.00040218545217}]",2188,US,New York,NY,United States,"['117 Macdougal St (btwn Minetta Ln & W 3rd St)', 'New York, NY 10012', 'United States']",10012,,3fd66200f964a52051e61ee3,One World Trade Center
30,Astor Wines & Spirits,Wine Shop,399 Lafayette St,at E 4th St,40.727984051970246,-73.99304720778368,"[{'label': 'display', 'lat': 40.727984051970246, 'lng': -73.99304720778368}]",2379,US,New York,NY,United States,"['399 Lafayette St (at E 4th St)', 'New York, NY 10003', 'United States']",10003,,49f37c28f964a520a36a1fe3,One World Trade Center
31,Pier 5 Soccer Fields,Soccer Field,Brooklyn Bridge Park,at Joralemon St,40.69448828350183,-74.00111769372403,"[{'label': 'display', 'lat': 40.69448828350183, 'lng': -74.00111769372403}]",2300,US,Brooklyn,NY,United States,"['Brooklyn Bridge Park (at Joralemon St)', 'Brooklyn, NY 10004', 'United States']",10004,,50e35a0ae4b0437c4ed45ae7,One World Trade Center
32,Brooklyn Bridge Park - Pier 6,Pier,Pier 6,at Bridge Park Dr,40.693288713137854,-74.00277972221375,"[{'label': 'display', 'lat': 40.693288713137854, 'lng': -74.00277972221375}]",2365,US,Brooklyn,NY,United States,"['Pier 6 (at Bridge Park Dr)', 'Brooklyn, NY 11201', 'United States']",11201,,4b81eb25f964a52000c430e3,One World Trade Center
33,Comedy Cellar at The Village Underground,Comedy Club,130 W 3rd St,,40.730792222213175,-74.00084635246698,"[{'label': 'display', 'lat': 40.730792222213175, 'lng': -74.00084635246698}]",2235,US,New York,NY,United States,"['130 W 3rd St', 'New York, NY 10012', 'United States']",10012,,51603739e4b0a9d70ee7fe34,One World Trade Center
