,name,categories,address,crossStreet,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,neighborhood,id,point name
0,Pantheon,Monument / Landmark,Piazza della Rotonda,Via Palombella,41.89913348171708,12.47680466523532,"[{'label': 'display', 'lat': 41.89913348171708, 'lng': 12.47680466523532}]",57,00186,IT,Roma,Lazio,Italia,"['Piazza della Rotonda (Via Palombella)', '00186 Roma Lazio', 'Italia']",,4adcdac6f964a5202f5321e3,Panthéon
1,Fontana dei Quattro Fiumi,Fountain,Piazza Navona,,41.89896683723093,12.473131782782303,"[{'label': 'display', 'lat': 41.89896683723093, 'lng': 12.473131782782303}]",309,00186,IT,Roma,Lazio,Italia,"['Piazza Navona', '00186 Roma Lazio', 'Italia']",Parione,4adcdac9f964a520055421e3,Panthéon
2,Piazza Navona,Plaza,Piazza Navona,,41.89923909819951,12.473184388488416,,310,00186,IT,Roma,Lazio,Italia,"['Piazza Navona', '00186 Roma Lazio', 'Italia']",Parione,4adcdac6f964a520285321e3,Panthéon
3,Piazza della Rotonda,Plaza,Piazza della Rotonda,,41.89925302095499,12.476778774611859,"[{'label': 'display', 'lat': 41.89925302095499, 'lng': 12.476778774611859}]",71,00186,IT,Roma,Lazio,Italia,"['Piazza della Rotonda', '00186 Roma Lazio', 'Italia']",Sant'Eustachio,4be05668358fef3b6858648a,Panthéon
4,Il Panino Ingegnoso,Sandwich Place,"Piazza di Pietra, 35",,41.89998191151652,12.479194782088841,"[{'label': 'display', 'lat': 41.89998191151652, 'lng': 12.479194782088841}]",247,00186,IT,Roma,Lazio,Italia,"['Piazza di Pietra, 35', '00186 Roma Lazio', 'Italia']",,5516b0b9498efa5147ff8430,Panthéon
5,Pizza e Mozzarella,Pizza Place,Via di Piè di Marmo 32,,41.89759761479189,12.479097450483923,"[{'label': 'display', 'lat': 41.89759761479189, 'lng': 12.479097450483923}]",219,00186,IT,,,Italia,"['Via di Piè di Marmo 32', '00186', 'Italia']",,50e43f98e4b0b781c2362b32,Panthéon
6,Pane e Salame,Sandwich Place,Via di Santa Maria in Via 19,Via dei Crociferi,41.900604,12.481798,"[{'label': 'display', 'lat': 41.900604, 'lng': 12.481798}]",467,,IT,Roma,Lazio,Italia,"['Via di Santa Maria in Via 19 (Via dei Crociferi)', 'Roma Lazio', 'Italia']",Trevi,56dd7b20498ebb7ab96350ee,Panthéon
7,Piazza Venezia,Plaza,Piazza Venezia,,41.895746560967744,12.48244572340433,,564,00187,IT,Roma,Lazio,Italia,"['Piazza Venezia', '00187 Roma Lazio', 'Italia']",,4adcdac6f964a520465321e3,Panthéon
8,Venchi,Ice Cream Shop,Via degli Orfani 87,Via del Corso,41.90004164812426,12.480883171716998,"[{'label': 'display', 'lat': 41.90004164812426, 'lng': 12.480883171716998}]",371,00186,IT,Roma,Lazio,Italia,"['Via degli Orfani 87 (Via del Corso)', '00186 Roma Lazio', 'Italia']",,53ce8a93498e9707065baed5,Panthéon
9,Frigidarium,Ice Cream Shop,Via del Governo Vecchio 112,Via Sora,41.89829373805058,12.470566970920304,"[{'label': 'display', 'lat': 41.89829373805058, 'lng': 12.470566970920304}]",520,00186,IT,Roma,Lazio,Italia,"['Via del Governo Vecchio 112 (Via Sora)', '00186 Roma Lazio', 'Italia']",Parione,4c49fab99c8d2d7f9e69e668,Panthéon
10,Cipasso,Wine Bar,"Via dell orso, 71",,41.901772,12.473529,"[{'label': 'display', 'lat': 41.901772, 'lng': 12.473529}]",445,00186,IT,Roma,Lazio,Italia,"['Via dell orso, 71', '00186 Roma Lazio', 'Italia']",,5b2fa144610f04002c060e48,Panthéon
11,Basilica di Sant'Andrea della Valle,Church,Piazza di Sant'Andrea della Valle,,41.89628,12.474383,"[{'label': 'display', 'lat': 41.89628, 'lng': 12.474383}]",329,00186,IT,Roma,Lazio,Italia,"[""Piazza di Sant'Andrea della Valle"", '00186 Roma Lazio', 'Italia']",,4adcdac6f964a520035321e3,Panthéon
12,Louis Vuitton,Boutique,Piazza di San Lorenzo in Lucina 41,,41.9038492,12.4788223,"[{'label': 'display', 'lat': 41.9038492, 'lng': 12.4788223}]",605,00186,IT,Roma,Lazio,Italia,"['Piazza di San Lorenzo in Lucina 41', '00186 Roma Lazio', 'Italia']",,4f218a1be4b0b69d78a4f6ff,Panthéon
13,Piazza del Campidoglio,Plaza,Piazza del Campidoglio,,41.89332137812433,12.482955747846482,"[{'label': 'display', 'lat': 41.89332137812433, 'lng': 12.482955747846482}]",777,00186,IT,Roma,Lazio,Italia,"['Piazza del Campidoglio', '00186 Roma Lazio', 'Italia']",,4adcdac7f964a5209f5321e3,Panthéon
14,Two Sizes,Dessert Shop,Via del governo vecchio 88,Vicolo della cancelleria,41.89804758670326,12.471558376859273,"[{'label': 'display', 'lat': 41.89804758670326, 'lng': 12.471558376859273}]",441,00186,IT,Roma,Lazio,Italia,"['Via del governo vecchio 88 (Vicolo della cancelleria)', '00186 Roma Lazio', 'Italia']",,58da9ead7220e62a2580bb4a,Panthéon
15,Ponte Sant'Angelo,Bridge,Ponte Sant'Angelo,,41.901356317374734,12.466491221097717,"[{'label': 'display', 'lat': 41.901356317374734, 'lng': 12.466491221097717}]",909,00193,IT,Roma,Lazio,Italia,"[""Ponte Sant'Angelo"", '00193 Roma Lazio', 'Italia']",,4adcdac8f964a520f05321e3,Panthéon
16,Foro Romano,Historic Site,Via dei Fori Imperiali,,41.89282428381951,12.485503137107758,,965,00186,IT,Roma,Lazio,Italia,"['Via dei Fori Imperiali', '00186 Roma Lazio', 'Italia']",,4adcdac6f964a520335321e3,Panthéon
17,Bartolucci,Toy / Game Store,"Via dei Pastini, 96-98-99",,41.89982012622285,12.478811776928012,"[{'label': 'display', 'lat': 41.89982012622285, 'lng': 12.478811776928012}]",211,00186,IT,Roma,Lazio,Italia,"['Via dei Pastini, 96-98-99', '00186 Roma Lazio', 'Italia']",,4c869f6174d7b60cc8bba5d8,Panthéon
18,Il Goccetto,Wine Bar,"Via dei Banchi Vecchi, 14",Via delle Carceri,41.8978224266521,12.467379882074916,"[{'label': 'display', 'lat': 41.8978224266521, 'lng': 12.467379882074916}]",788,00186,IT,Roma,Lazio,Italia,"['Via dei Banchi Vecchi, 14 (Via delle Carceri)', '00186 Roma Lazio', 'Italia']",,4c01491cd715c92875d9fce3,Panthéon
19,Foro di Traiano,Historic Site,Piazza Foro Traiano,,41.89472893619501,12.4848713109981,"[{'label': 'display', 'lat': 41.89472893619501, 'lng': 12.4848713109981}]",794,00187,IT,Roma,Lazio,Italia,"['Piazza Foro Traiano', '00187 Roma Lazio', 'Italia']",,4c41fd5c520fa593517ccaac,Panthéon
20,Mimì e Cocò,Wine Bar,"Via del Governo Vecchio, 72",,41.89808329489454,12.471409615464415,"[{'label': 'display', 'lat': 41.89808329489454, 'lng': 12.471409615464415}]",453,00186,IT,Roma,Lazio,Italia,"['Via del Governo Vecchio, 72', '00186 Roma Lazio', 'Italia']",,4e51864dd164978659e7ad5a,Panthéon
