,name,categories,address,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,crossStreet,neighborhood,id
0,Champion Pizza,Pizza Place,17 Cleveland Pl,40.721637542248196,-73.99747002195814,"[{'label': 'display', 'lat': 40.721637542248196, 'lng': -73.99747002195814}]",1694,10012,US,New York,NY,United States,"['17 Cleveland Pl', 'New York, NY 10012', 'United States']",,,55ea9f4d498ed46db0383483
1,Juliana's Pizza,Pizza Place,19 Old Fulton St,40.702769,-73.993616,"[{'label': 'display', 'lat': 40.702769, 'lng': -73.993616}, {'label': 'entrance', 'lat': 40.702689, 'lng': -73.993486}]",1970,11201,US,Brooklyn,NY,United States,"['19 Old Fulton St', 'Brooklyn, NY 11201', 'United States']",,,50ca6337e4b04e1f3135689c
2,Joe's Pizza,Pizza Place,7 Carmine St,40.73046111519949,-74.00197226155092,"[{'label': 'display', 'lat': 40.73046111519949, 'lng': -74.00197226155092}, {'label': 'entrance', 'lat': 40.730538, 'lng': -74.002126}]",2238,10014,US,New York,NY,United States,"['7 Carmine St (at 6th Ave)', 'New York, NY 10014', 'United States']",at 6th Ave,,45ebc982f964a52091431fe3
3,Adrienne's Pizza Bar,Pizza Place,54 Stone St,40.704348091685645,-74.01022261314714,"[{'label': 'display', 'lat': 40.704348091685645, 'lng': -74.01022261314714}]",920,10004,US,New York,NY,United States,"['54 Stone St (Mill Ln)', 'New York, NY 10004', 'United States']",Mill Ln,,4a455daff964a52014a81fe3
4,John's of Bleecker Street,Pizza Place,278 Bleecker St,40.73173166751651,-74.0032673491852,"[{'label': 'display', 'lat': 40.73173166751651, 'lng': -74.0032673491852}]",2325,10014,US,New York,NY,United States,"['278 Bleecker St (at Jones St)', 'New York, NY 10014', 'United States']",at Jones St,,43b9adf1f964a520e22c1fe3
5,Rubirosa Ristorante,Pizza Place,235 Mulberry St,40.72270625453151,-73.99595719792266,"[{'label': 'display', 'lat': 40.72270625453151, 'lng': -73.99595719792266}, {'label': 'entrance', 'lat': 40.722718, 'lng': -73.996058}]",1868,10012,US,New York,NY,United States,"['235 Mulberry St (btwn Prince & Spring St)', 'New York, NY 10012', 'United States']",btwn Prince & Spring St,,4cc6222106c25481d7a4a047
7,Fornino,Pizza Place,Pier 6,40.692980222494704,-74.00169729467243,"[{'label': 'display', 'lat': 40.692980222494704, 'lng': -74.00169729467243}]",2361,11201,US,Brooklyn,NY,United States,"['Pier 6', 'Brooklyn, NY 11201', 'United States']",,,51fa84d22fc60e9c2e6f875b
8,Sottocasa Pizzeria,Pizza Place,298 Atlantic Ave,40.6885338727835,-73.98894680347975,"[{'label': 'display', 'lat': 40.6885338727835, 'lng': -73.98894680347975}, {'label': 'entrance', 'lat': 40.688377, 'lng': -73.988941}]",3348,11201,US,Brooklyn,NY,United States,"['298 Atlantic Ave (btwn Smith & Hoyt St.)', 'Brooklyn, NY 11201', 'United States']",btwn Smith & Hoyt St.,Boerum Hill,4e793558aeb79f7dab5c7f6f
9,Marta,Pizza Place,29 E 29th St,40.74445216108151,-73.98467537536759,"[{'label': 'display', 'lat': 40.74445216108151, 'lng': -73.98467537536759}]",4320,10016,US,New York,NY,United States,"['29 E 29th St (btwn Madison & Park Ave S)', 'New York, NY 10016', 'United States']",btwn Madison & Park Ave S,NoMad,5406665a498e800a29690993
10,Lil' Frankie's,Pizza Place,19 1st Ave,40.723444771266365,-73.9883282856349,"[{'label': 'display', 'lat': 40.723444771266365, 'lng': -73.9883282856349}]",2447,10003,US,New York,NY,United States,"['19 1st Ave (btwn E 1st & E 2nd St)', 'New York, NY 10003', 'United States']",btwn E 1st & E 2nd St,,3fd66200f964a520d0e41ee3
11,Motorino,Pizza Place,349 E 12th St,40.73016173279871,-73.98393602503445,"[{'label': 'display', 'lat': 40.73016173279871, 'lng': -73.98393602503445}]",3178,10003,US,New York,NY,United States,"['349 E 12th St (at 1st Ave)', 'New York, NY 10003', 'United States']",at 1st Ave,,4aaec606f964a5203d6320e3
12,New York Pizza Suprema,Pizza Place,413 8th Ave,40.750124384298815,-73.99499165569237,"[{'label': 'display', 'lat': 40.750124384298815, 'lng': -73.99499165569237}, {'label': 'entrance', 'lat': 40.750134, 'lng': -73.995165}]",4487,10001,US,New York,NY,United States,"['413 8th Ave (btwn W 30th & W 31st St)', 'New York, NY 10001', 'United States']",btwn W 30th & W 31st St,,4a639f9ff964a52077c51fe3
13,Emmy Squared,Pizza Place,364 Grand St,40.712166,-73.955705,"[{'label': 'display', 'lat': 40.712166, 'lng': -73.955705}, {'label': 'entrance', 'lat': 40.712241, 'lng': -73.955659}]",4860,11211,US,Brooklyn,NY,United States,"['364 Grand St (at Marcy Ave)', 'Brooklyn, NY 11211', 'United States']",at Marcy Ave,,570139a9498e16178005c729
